Global Volcanism Program - Volcanoes of the World 4.8.6,,,,Downloaded on 05 Mar 2020 at 08:30 AM,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
273010,Bulusan,"Mirabueno M H T, Okuno M, Nakamura T, Laguerta E P, Newhall C G, Kobayashi T",2007,"AMS radiocarbon dating of a charcoal fragment from the Irosin Ignimbrite, Sorsogon Province, southern Luzon, Philippines","Bull Volc Soc Japan (Kazan), 52: 241-244"
273010,Bulusan,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273010,Bulusan,"Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
273010,Bulusan,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
273030,Mayon,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273030,Mayon,"Castillo P R, Newhall C G",2004,"Geochemical constraints on possible subduction components in lavas of Mayon and Taal volcanoes, southern Luzon, Philippines","J Petr, 45: 1089-1108"
273030,Mayon,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
273030,Mayon,"Moore J G, Melson W G",1969,"Nuees ardentes of the 1968 eruption of Mayon volcano, Philippines","Bull Volcanol, 33: 600-620"
273030,Mayon,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273030,Mayon,Newhall C G,1979,"Temporal variation in the lavas of Mayon volcano, Philippines","J. Volcanol. Geotherm. Res., 5: 61-84"
273030,Mayon,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
273030,Mayon,"Paguican E M R, Lagmay A M F, Rodolfo K S, Rodolfo R S, Tengonciang A M P, Lapus M R, Baliatan E G, Obille Jr E C",20009,"Extreme rainfall-induced lahars and dike breaching, 30 November 2006, Mayon volcano, Philippines","Bull Volcanol, 71: 845-857"
273030,Mayon,"Ramos-Villarta S C, Corpuz E G, Newhall C G",1985,"Eruptive history of Mayon volcano, Philippines","Philippine J Volc, 2: 1-35"
273041,Iriga,"Aguila L G, Newhall C G, Miller C D, Listanco E L",1986,"Reconnaissance geology of a large debris avalanche from Iriga volcano, Philippines","Philippine J Volc, 3: 54-72"
273041,Iriga,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
273041,Iriga,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
273041,Iriga,"Paguican E M R, van Wyk de Vries B, Lagmay A M F",2012,Volcano-tectonic controls and emplacement kinematics of the Iriga debris avalanches (Philippines),"Bull Volcanol, 74: 2067-2081"
273042,Isarog,"Fontijn K, Newhall C G",2013,"Reconnaissance geology of Isarog volcano (Luzon, Philippines): evidence for Holocene explosive eruptions and a major edifice collapse","J. Volcanol. Geotherm. Res., 250: 100-105"
273042,Isarog,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
273042,Isarog,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
273050,Banahaw,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273050,Banahaw,Geronimo-Catane S,1994,"Mode of emplacement of two debris-avalanche deposits at Banahao volcano, southern Luzon, Philippines","Bull Volc Soc Japan (Kazan), 39: 113-127"
273050,Banahaw,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
273050,Banahaw,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273050,Banahaw,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
273050,Banahaw,Sapper K,1917,Katalog der Geschichtlichen Vulkanausbruche,"Strasbourg: Karl J Trubner, 358 p"
273050,Banahaw,"Wolfe J A, Self S",1983,Structural lineaments and Neogene volcanism in southwestern Luzon,"In: Hayes D E (ed) {The Tectonic and Geological Evolution of Southeast Asian Seas and Islands: Part 2}, Amer Geophys Union Monograph 27"
273060,San Pablo Volcanic Field,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273060,San Pablo Volcanic Field,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
273060,San Pablo Volcanic Field,"Defant M J, Maury R C, Ripley E M, Feigenson M D, Jacques D",1991,"An example of island-arc petrogenesis: geochemistry and petrology of the southern Luzon arc, Philippines","J Petr, 32: 455-500"
273060,San Pablo Volcanic Field,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
273060,San Pablo Volcanic Field,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273060,San Pablo Volcanic Field,"Wolfe J A, Self S",1983,Structural lineaments and Neogene volcanism in southwestern Luzon,"In: Hayes D E (ed) {The Tectonic and Geological Evolution of Southeast Asian Seas and Islands: Part 2}, Amer Geophys Union Monograph 27"
273070,Taal,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273070,Taal,"Castillo P R, Newhall C G",2004,"Geochemical constraints on possible subduction components in lavas of Mayon and Taal volcanoes, southern Luzon, Philippines","J Petr, 45: 1089-1108"
273070,Taal,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
273070,Taal,"Green J, Short N M",1971,Volcanic Landforms and Surface Features: a Photographic Atlas and Glossary,"New York: Springer-Verlag, 519 p"
273070,Taal,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
273070,Taal,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
273070,Taal,"Miklius A, Flower M F J, Huijsmans J P P, Mukasa S B, Castillo P",1991,"Geochemistry of lavas from Taal Volcano, southwest Luzon, Philippines","J Petr, 32: 593-627"
273070,Taal,"Moore J G, Nakamura K, Alcaraz A",1966,The 1965 eruption of Taal volcano,"Science, 151: 955-960"
273070,Taal,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273070,Taal,"Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
273070,Taal,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
273070,Taal,"Santos G G, Wainerdi R E",1969,Notes on the 1965 Taal volcanic eruptions,"Bull Volcanol, 33: 503-529"
273081,Mariveles,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273081,Mariveles,"Defant M J, Maury R C, Ripley E M, Feigenson M D, Jacques D",1991,"An example of island-arc petrogenesis: geochemistry and petrology of the southern Luzon arc, Philippines","J Petr, 32: 455-500"
273081,Mariveles,Nuclear Regulatory Commission,1979,,(pers. comm.)
273081,Mariveles,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
273081,Mariveles,"Wolfe J A, Self S",1983,Structural lineaments and Neogene volcanism in southwestern Luzon,"In: Hayes D E (ed) {The Tectonic and Geological Evolution of Southeast Asian Seas and Islands: Part 2}, Amer Geophys Union Monograph 27"
273081,Mariveles,"Yumul G P Jr, Dimilanta C B, Bellon H, Faustino D V, de Jesus J V, Tamayo R A Jr, Jumawan F T",2000,"Adakitic lavas in the Central Luzon back-arc region, Philippines: lower crustal partial melting products?","The Island Arc 9, 499-512"
273083,Pinatubo,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
273083,Pinatubo,"Delfin F G Jr, Villarosa H G, Layugan D B, Clemente V C, Candelaria M R, Ruaya J R",1996,Geothermal exploration of the pre-1991 Mount Pinatubo hydrothermal system,"In: Newhall C G, Punongbayan R S (eds) {Fire and Mud: Eruptions and Lahars of Mount Pinatubo, Philippines}.  Quezon City, Philippines: Philippine Inst Volc Seism, and Seattle: Univ Wash Press, p 197-212"
273083,Pinatubo,"Hoblitt R P, Wolfe E W, Scott W E, Couchman M R, Pallister J S, Javier D",1996,"The preclimactic eruptions of Mount Pinatubo, June 1991","In: Newhall C G, Punongbayan R S (eds) {Fire and Mud: Eruptions and Lahars of Mount Pinatubo, Philippines}.  Quezon City, Philippines: Philippine Inst Volc Seism, and Seattle: Univ Wash Press, p 457-511"
273083,Pinatubo,"Ku Y-P, Chen C-H, Newhall C G, Song S-R, Yang T F, Iizuka Y, McGeehin J",2008,"Determining an age for the Inararo Tuff eruption of Mt. Pinatubo, based on correlation with a distal ash layer in core MD97-2142, South China Sea","Quat Internatl, 178: 138-145"
273083,Pinatubo,"Lagmay A M F, Rodolfo K S, Siringan F P, Uy H, Remotigue C, Zamora P, Lapus M, Rodolfo R, Ong J",2007,"Geology and hazard implications of the Maraunot notch in the Pinatubo caldera, Philippines","Bull Volcanol, 69: 797-809"
273083,Pinatubo,"Newhall C G, Daag A S, Delfin F G Jr, Hoblitt R P, McGeehin J, Pallister J S, Regalado T M, Rubin M, Tubianosa B S, Tamayo R A Jr, Umbal J V",1996,Eruptive history of Mount Pinatubo,"In: Newhall C G, Punongbayan R S (eds) {Fire and Mud: Eruptions and Lahars of Mount Pinatubo, Philippines}.  Quezon City, Philippines: Philippine Inst Volc Seism, and Seattle: Univ Wash Press, p 165-195"
273083,Pinatubo,"Newhall C G, Punongbayan R S (eds)",1996,Eruptive history of Mount Pinatubo,"Quezon City, Philippines: Philippine Inst Volc Seism, and Seattle: Univ Wash Press, 1126 p"
273083,Pinatubo,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
273083,Pinatubo,"Pallister J S, Hoblitt R P, Meeker G P, Knight R J, Siems D F",1996,Magma mixing at Mount Pinatubo: petrographic and chemical evidence from the 1991 deposits,"In: Newhall C G, Punongbayan R S (eds) {Fire and Mud: Eruptions and Lahars of Mount Pinatubo, Philippines}.  Quezon City, Philippines: Philippine Inst Volc Seism, and Seattle: Univ Wash Press, p 687-731"
273083,Pinatubo,"Pierson T C, Janda R J, Umbal J V, Daag A S",1992,"Immediate and long-term hazards from lahars and excess sedimentation in rivers draining Mt. Pinatubo, Philippines","U S Geol Surv, Water Resour Invest Rpt, 92-4039: 1-35"
273083,Pinatubo,Pinatubo Volcano Observatory Team,1991,"Lessons from a major eruption: Mt. Pinatubo, Philippines","Eos, Trans Amer Geophys Union, 72: 545, 552-553, 555"
273083,Pinatubo,"Rodolfo K S, Umbal J V",2008,A prehistoric lahar-dammed lake and eruption of Mount Pinatubo described in a Philippine aborigine legend,"J. Volcanol. Geotherm. Res., 176: 432-437"
273083,Pinatubo,"Scott W E, Hoblitt R P, Torres R C, Self S, Martinez M L, Nillos T Jr",1996,"Pyroclastic flows of the June 15, 1991, climactic eruption of Mount Pinatubo","In: Newhall C G, Punongbayan R S (eds) {Fire and Mud: Eruptions and Lahars of Mount Pinatubo, Philippines}.  Quezon City, Philippines: Philippine Inst Volc Seism, and Seattle: Univ Wash Press, p 545-570"
273083,Pinatubo,Smithsonian Institution-GVN,1990-,[Monthly event reports],"Bull Global Volc Network, v 15-33"
273083,Pinatubo,"Stimac J A, Goff F, Counce D, Larocque A C L, Hilton D R, Morgenstern U",2004,"The crater lake and hydrothermal system of Mount Pinatubo, Philippines: evolution in the decade after eruption","Bull Volcanol, 66: 149-167"
273083,Pinatubo,"Torres R, Mouginis-Mark P, Self S, Garbeil H, Kallianpur K, Quiambao R",2004,"Monitoring the evolution of the Pasig-Potrero alluvial fan, Pinatubo volcano, using a decade of remote sensing data","J. Volcanol. Geotherm. Res., 138: 371-392"
273083,Pinatubo,"Wiesner M G, Wetzel A, Catane S G, Listanco E L, Mirabueno H T",2004,"Grain size, areal thickness distribution and controls on sedimentation of the 1991 Mount Pinatubo tephra layer in the South China Sea","Bull Volcanol, 66: 226-242"
273083,Pinatubo,"Wolfe E W, Hoblitt R P",1996,Overview of the eruption,"In: Newhall C G, Punongbayan R S (eds) {Fire and Mud: Eruptions and Lahars of Mount Pinatubo, Philippines}.  Quezon City, Philippines: Philippine Inst Volc Seism, and Seattle: Univ Wash Press, p 3-20"
273083,Pinatubo,"Wolfe J A, Self S",1983,Structural lineaments and Neogene volcanism in southwestern Luzon,"In: Hayes D E (ed) {The Tectonic and Geological Evolution of Southeast Asian Seas and Islands: Part 2}, Amer Geophys Union Monograph 27"
273088,Ambalatungan Group,Alvir A D,1956,A cluster of little known Philippine volcanoes,"Proc 8th Pacific Sci Cong, 2: 205-206"
273088,Ambalatungan Group,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273088,Ambalatungan Group,Wolfe J A,1982,,(pers. comm.)
273090,Cagua,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273090,Cagua,"Defant M J, Jacques D, Maury R C, de Boer J, Joron J-L",1989,"Geochemistry and tectonic setting of the Luzon arc, Philippines","Geol Soc Amer Bull, 101: 663-672"
273090,Cagua,"Defant M J, Maury R C, Joron J, Feigenson M D, Leterrier J, Bellon H, Jacques D, Richard M",1990,The geochemistry and tectonic setting of the northern section of the Luzon arc (the Philippines and Taiwan),"Tectonophysics, 183: 187-205"
273090,Cagua,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
273090,Cagua,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
273090,Cagua,"McDermott F, Defant M J, Hawkesworth C J, Maury R C, Joron J L",1993,Isotope and trace element evidence for three component mixing in the genesis of the North Luzon arc lavas (Philippines),"Contr Mineral Petr, 113: 9-23"
273090,Cagua,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273090,Cagua,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
274010,Camiguin de Babuyanes,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
274010,Camiguin de Babuyanes,"Defant M J, Jacques D, Maury R C, de Boer J, Joron J-L",1989,"Geochemistry and tectonic setting of the Luzon arc, Philippines","Geol Soc Amer Bull, 101: 663-672"
274010,Camiguin de Babuyanes,"Defant M J, Maury R C, Joron J, Feigenson M D, Leterrier J, Bellon H, Jacques D, Richard M",1990,The geochemistry and tectonic setting of the northern section of the Luzon arc (the Philippines and Taiwan),"Tectonophysics, 183: 187-205"
274010,Camiguin de Babuyanes,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
274010,Camiguin de Babuyanes,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
274010,Camiguin de Babuyanes,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
274020,Didicas,"Alcaraz A, Abad L F, Tupas M H",1956,The Didicas submarine volcano,"Proc 8th Pacific Sci Cong, 2: 139-156"
274020,Didicas,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
274020,Didicas,"Defant M J, Maury R C, Joron J, Feigenson M D, Leterrier J, Bellon H, Jacques D, Richard M",1990,The geochemistry and tectonic setting of the northern section of the Luzon arc (the Philippines and Taiwan),"Tectonophysics, 183: 187-205"
274020,Didicas,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
274020,Didicas,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
274020,Didicas,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
274020,Didicas,Pena O,1982,,(pers. comm.)
274030,Babuyan Claro,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
274030,Babuyan Claro,"Defant M J, Jacques D, Maury R C, de Boer J, Joron J-L",1989,"Geochemistry and tectonic setting of the Luzon arc, Philippines","Geol Soc Amer Bull, 101: 663-672"
274030,Babuyan Claro,"Defant M J, Maury R C, Joron J, Feigenson M D, Leterrier J, Bellon H, Jacques D, Richard M",1990,The geochemistry and tectonic setting of the northern section of the Luzon arc (the Philippines and Taiwan),"Tectonophysics, 183: 187-205"
274030,Babuyan Claro,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
274030,Babuyan Claro,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
274030,Babuyan Claro,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
274050,Unnamed,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
274050,Unnamed,Pena O,1982,,(pers. comm.)
274060,Iraya,"Defant M J, Jacques D, Maury R C, de Boer J, Joron J-L",1989,"Geochemistry and tectonic setting of the Luzon arc, Philippines","Geol Soc Amer Bull, 101: 663-672"
274060,Iraya,"Defant M J, Maury R C, Joron J, Feigenson M D, Leterrier J, Bellon H, Jacques D, Richard M",1990,The geochemistry and tectonic setting of the northern section of the Luzon arc (the Philippines and Taiwan),"Tectonophysics, 183: 187-205"
274060,Iraya,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
274060,Iraya,PHIVOLCS,1991,Volcanoes of the Philippines,"Manila: PHIVOLCS Press, 41 p"
274060,Iraya,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
